iter	Passed	Remaining
339	1709362	3318174
340	1713971	3312337
341	1718582	3306512
342	1725507	3305127
343	1732702	3304222
344	1738011	3299703
345	1743416	3295359
346	1749610	3292495
347	1756800	3291476
348	1763944	3290337
349	1769552	3286312
350	1775840	3283534
351	1780924	3278520
352	1786717	3274804
353	1792606	3271254
354	1798277	3267293
355	1802869	3261370
356	1808195	3256778
357	1814277	3253537
358	1819505	3248754
359	1825938	3246112
360	1831608	3242099
361	1838597	3240400
362	1843403	3234842
363	1848391	3229606
364	1853625	3224801
365	1860585	3222981
366	1865407	3217447
367	1870738	3212789
368	1876993	3209710
369	1882575	3205466
370	1887703	3200445
371	1894577	3198372
372	1899417	3192854
373	1904749	3188163
374	1910579	3184299
375	1915024	3178125
376	1920474	3173621
377	1925884	3169048
378	1930357	3162933
379	1935658	3158179
380	1940894	3153316
381	1946303	3148731
382	1951945	3144517
383	1957036	3139412
384	1962325	3134624
385	1967678	3129933
386	1973131	3125399
387	1979771	3122732
388	1985603	3118774
389	1991143	3114353
390	1998097	3112125
391	2002526	3105958
392	2008783	3102624
393	2014319	3098165
394	2020182	3094203
395	2024993	3088626
396	2029633	3082793
397	2035122	3078251
398	2040151	3073010
399	2045352	3068028
400	2050689	3063248
401	2055906	3058288
402	2062291	3055056
403	2067784	3050493
404	2072963	3045464
405	2078703	3041255
406	2084323	3036863
407	2090241	3032899
408	2096143	3028901
409	2102052	3024904
410	2107638	3020436
411	2114030	3017111
412	2119167	3011988
413	2125468	3008513
414	2131210	3004236
415	2137085	3000138
416	2144214	2997786
417	2150773	2994617
418	2156781	2990668
419	2162875	2986828
420	2170525	2985116
421	2177180	2982015
422	2182964	2977708
423	2189244	2974068
424	2194965	2969659
425	2200867	2965487
426	2206520	2960974
427	2211210	2955168
428	2216718	2950458
429	2223013	2946785
430	2227845	2941169
431	2234204	2937565
432	2239495	2932549
433	2244890	2927668
434	2251349	2924166
435	2256995	2919600
436	2263297	2915873
437	2269343	2911805
438	2275292	2907605
439	2281245	2903403
440	2285876	2897516
441	2289938	2890917
442	2295226	2885872
443	2300470	2880769
444	2306114	2876164
445	2311987	2871841
446	2317415	2866959
447	2322335	2861448
448	2327635	2856407
449	2332407	2850719
450	2336860	2844648
451	2342571	2840108
452	2348241	2835514
453	2353990	2831010
454	2359369	2826057
455	2364867	2821245
456	2370685	2816810
457	2376786	2812703
458	2382410	2808026
459	2386971	2802097
460	2392222	2796980
461	2398433	2792981
462	2405577	2790054
463	2411869	2786124
464	2416828	2780652
465	2422832	2776378
466	2427090	2770105
467	2433820	2766650
468	2440245	2762836
469	2445549	2757746
470	2451844	2753770
471	2455871	2747245
472	2463061	2744256
473	2468784	2739622
474	2474974	2735498
475	2481609	2731856
476	2487712	2727617
477	2494101	2723684
478	2499408	2718563
479	2504522	2713232
480	2509933	2708223
481	2516043	2703964
482	2521463	2698957
483	2526422	2693458
484	2532108	2688734
485	2537496	2683690
486	2542952	2678716
487	2547995	2673307
488	2553759	2668652
489	2558005	2662414
490	2562824	2656777
491	2567995	2651508
492	2573646	2646731
493	2578925	2641571
494	2584622	2636837
495	2589547	2631314
496	2594328	2625648
497	2599945	2620828
498	2605013	2615454
499	2610122	2610122
500	2615538	2605097
501	2621770	2600879
502	2627564	2596221
503	2632563	2590776
504	2637932	2585696
505	2643114	2580431
506	2648311	2575182
507	2653851	2570266
508	2659246	2565205
509	2665834	2561291
510	2670608	2555631
511	2677291	2551793
512	2682581	2546622
513	2688182	2541744
514	2694429	2537472
515	2699126	2531738
516	2704260	2526417
517	2708817	2520559
518	2714676	2515914
519	2719059	2509900
520	2724421	2504794
521	2730648	2500478
522	2736318	2495648
523	2740824	2489756
524	2746182	2484641
525	2751376	2479377
526	2757412	2474869
527	2762366	2469388
528	2767320	2463908
529	2772898	2458985
530	2779173	2454674
531	2784080	2449153
532	2789748	2444300
533	2795490	2439510
534	2801592	2435028
535	2806864	2429823
536	2812292	2424750
537	2817904	2419836
538	2823465	2414874
539	2828895	2409800
540	2834943	2405247
541	2839442	2399380
542	2844058	2393618
543	2850141	2389089
544	2856369	2384675
545	2862241	2379958
546	2866533	2373929
547	2872983	2369686
548	2879100	2365162
549	2885735	2361056
550	2891227	2356008
551	2897046	2351226
552	2902266	2345955
553	2908162	2341228
554	2913515	2336061
555	2918539	2330632
556	2924068	2325605
557	2930002	2320897
558	2936058	2316281
559	2941932	2311518
560	2948866	2307580
561	2954869	2302905
562	2961108	2298409
563	2966514	2293263
564	2971468	2287767
565	2977713	2283264
566	2983119	2278114
567	2988391	2272860
568	2993841	2267743
569	2999116	2262491
570	3004623	2257414
571	3010280	2252447
572	3015948	2247486
573	3021938	2242762
574	3028971	2238804
575	3034382	2233642
576	3039355	2228158
577	3044840	2223049
578	3050785	2218274
579	3056709	2213479
580	3062248	2208403
581	3067623	2203207
582	3074449	2199048
583	3080240	2194144
584	3085829	2189093
585	3091230	2183906
586	3097316	2179202
587	3103193	2174346
588	3109386	2169707
589	3115356	2164909
590	3121284	2160076
591	3126560	2154791
592	3132182	2149744
593	3138392	2145096
594	3142863	2139260
595	3148330	2134103
596	3155572	2130143
597	3162127	2125710
598	3168033	2120836
599	3174381	2116254
600	3180944	2111808
601	3187642	2107444
602	3194243	2103009
603	3202760	2099823
604	3209033	2095154
605	3214381	2089878
606	3219771	2084629
607	3224692	2079078
608	3229759	2073622
609	3235319	2068483
610	3240234	2062931
611	3246104	2057987
612	3252155	2053155
613	3259096	2048878
614	3264847	2043847
615	3270848	2038970
616	3276473	2033856
617	3281458	2028344
618	3287131	2023258
619	3293026	2018306
620	3297817	2012677
621	3303828	2007792
622	3309554	2002731
623	3315362	1997718
624	3321194	1992716
625	3325899	1987039
626	3331459	1981872
627	3336788	1976568
628	3342025	1971210
629	3346767	1965561
630	3352942	1960754
631	3357888	1955226
632	3362441	1949472
633	3367627	1944087
634	3372824	1938710
635	3378288	1933485
636	3383514	1928125
637	3389485	1923187
638	3394786	1917868
639	3399903	1912445
640	3405906	1907520
641	3411294	1902248
