iter	MultiClass
0	3.019233513
1	2.644126524
2	2.363239672
3	2.186114538
4	2.04160649
5	1.925365729
6	1.835144667
7	1.743301936
8	1.674605524
9	1.6064814
10	1.534467215
11	1.478178056
12	1.422002052
13	1.379818224
14	1.330017276
15	1.290092291
16	1.258965568
17	1.226518222
18	1.191429161
19	1.156250632
20	1.127657118
21	1.097594196
22	1.07249755
23	1.047970888
24	1.027516634
25	1.012335416
26	0.9882374557
27	0.9696978041
28	0.9500355696
29	0.9323163031
30	0.9184735049
31	0.9017158817
32	0.8875009242
33	0.8710705042
34	0.8616221829
35	0.8471756206
36	0.8388746271
37	0.8306296773
38	0.8236054725
39	0.8158952276
40	0.8075956957
41	0.8000346978
42	0.7904475922
43	0.7803096382
44	0.7713574453
45	0.7632072205
46	0.7571281074
47	0.7548420644
48	0.7442893884
49	0.7394934073
50	0.7287026597
51	0.7255307093
52	0.7192000077
53	0.7181046308
54	0.7142803966
55	0.7093931017
56	0.7060859052
57	0.6997579671
58	0.6993596285
59	0.6991034521
60	0.6929054387
61	0.690247777
62	0.6861648503
63	0.679073633
64	0.6781839025
65	0.6771143491
66	0.6739747829
67	0.6728287162
68	0.6665640843
69	0.6664672098
70	0.6660352938
71	0.6659419352
72	0.6658632529
73	0.6657523657
74	0.66385607
75	0.6616474829
76	0.661555122
77	0.6602827879
78	0.6577444092
79	0.6527726885
80	0.6511566999
81	0.6499987491
82	0.6495947607
83	0.6481823334
84	0.6472776249
85	0.6472661404
86	0.6466096569
87	0.6458694605
88	0.6458531399
89	0.6444635583
90	0.6443570148
91	0.6438797154
92	0.6428870265
93	0.6392037429
94	0.6327177193
95	0.632698433
96	0.6291658031
97	0.6277310855
98	0.6258793551
99	0.6224932766
100	0.6223437819
101	0.617060367
102	0.6167867162
103	0.6165160505
104	0.6147084048
105	0.6099622053
106	0.6082475649
107	0.60807727
108	0.608004849
109	0.605753066
110	0.6056614542
111	0.6048995252
112	0.6014974184
113	0.5992378376
114	0.59460276
115	0.5907961616
116	0.5905363713
117	0.58892479
118	0.5849510927
119	0.5849185263
120	0.5842029181
121	0.580129316
122	0.5743369564
123	0.5692352478
124	0.5692026974
125	0.5659874384
126	0.5634258518
127	0.5633713315
128	0.5633449447
129	0.5604003557
130	0.5573767576
131	0.5546640556
132	0.5522749281
133	0.5493249776
134	0.546169357
135	0.5441521433
136	0.5433115459
137	0.5409823758
138	0.5382452964
139	0.5354163023
140	0.5339072568
141	0.530395116
142	0.5274347118
143	0.5251270597
144	0.5241849642
145	0.5239858564
146	0.5215366501
147	0.5192190792
148	0.5170612529
149	0.5167080842
150	0.5164778978
151	0.5154995937
152	0.5123398007
153	0.5096430442
154	0.5074649628
155	0.5048284851
156	0.5047821007
157	0.5037288562
158	0.5019964813
159	0.499795183
160	0.4997739576
161	0.4987887024
162	0.4965551212
163	0.4951090567
164	0.4930885579
165	0.4920134046
166	0.4905858488
167	0.4884162362
168	0.4883879534
169	0.4879297908
170	0.4866925797
171	0.4866479258
172	0.4854984103
173	0.4837602161
174	0.4830594484
175	0.4813564278
176	0.4803790766
177	0.4803594187
178	0.4789242781
179	0.4779685533
180	0.4777430357
181	0.4763455095
182	0.4761373848
183	0.4746203706
184	0.4735617613
185	0.4728784973
186	0.4723449619
187	0.4716508864
188	0.4715945412
189	0.4705520765
190	0.4699250183
191	0.4695572553
192	0.4689808796
193	0.4680262612
194	0.4667471179
195	0.4654214431
196	0.4654054246
197	0.4643004953
198	0.4628390511
199	0.4611159137
200	0.4597457088
201	0.4596839286
202	0.4593042754
203	0.458543293
204	0.4580176167
205	0.4560261253
206	0.45482541
207	0.4540089622
208	0.4525747613
209	0.4523846183
210	0.4516459177
211	0.4505102615
212	0.4497284202
213	0.4480255229
214	0.4478033553
215	0.4476374354
216	0.4475343246
217	0.4469266993
218	0.4461774584
219	0.4453548211
220	0.4449905156
221	0.4444882852
222	0.4442022827
223	0.4440215676
224	0.4435012559
225	0.4422676743
226	0.442226735
227	0.441569451
228	0.4401170377
229	0.4399205192
230	0.4388075623
231	0.4374762234
232	0.4361552394
233	0.4347561576
234	0.4345811553
235	0.4332656062
236	0.431606837
237	0.42961367
238	0.4292271545
239	0.4287449189
240	0.4275617537
241	0.4262698226
242	0.425622845
243	0.4241456226
244	0.4236801714
245	0.4227003671
246	0.4222353863
247	0.4222232967
248	0.4217361691
249	0.4211100907
250	0.421088559
251	0.4205604164
252	0.4201473663
253	0.4188663055
254	0.4180681446
255	0.4180228036
256	0.417000921
257	0.4156684379
258	0.4148155227
259	0.4142869301
260	0.4130456018
261	0.4120959049
262	0.4107605313
263	0.4097800954
264	0.4094618036
265	0.4091680045
266	0.4083972255
267	0.4074251167
268	0.4064854827
269	0.4055004809
270	0.4049496406
271	0.4046709117
272	0.4040278873
273	0.4034256609
274	0.4028030747
275	0.4019001999
276	0.4015413363
277	0.4009894765
278	0.4002299488
279	0.3995886377
280	0.3992699408
281	0.3980250108
282	0.3972897364
283	0.3964717002
284	0.3962092089
285	0.3958545899
286	0.3945553657
287	0.3943676405
288	0.3942845741
289	0.3939976648
290	0.3933666567
291	0.3931867587
292	0.3925305996
293	0.3923928501
294	0.3918998751
295	0.3916660719
296	0.3912015319
297	0.3905943132
298	0.3901210572
299	0.3897260008
300	0.3892203216
301	0.3891151735
302	0.3880825007
303	0.3872129502
304	0.3863013414
305	0.3858808523
306	0.3857176452
307	0.3852787199
308	0.3846785065
309	0.3844032006
310	0.3836153781
311	0.3833984568
312	0.3822366223
313	0.3820743003
314	0.3814376309
315	0.3808847403
316	0.3803640387
317	0.3800164345
318	0.3796219948
319	0.3790698847
320	0.3785221217
321	0.3777485087
322	0.3767318904
323	0.3764172094
324	0.3760214608
325	0.3760151283
326	0.3750100647
327	0.3744448364
328	0.3738423711
329	0.3723258975
330	0.3714856154
331	0.3705413385
332	0.3702266852
333	0.3698661346
334	0.3689818215
335	0.36867292
336	0.3679720419
337	0.3675215527
338	0.3671070418
339	0.3666313791
340	0.3658555865
341	0.3656956652
342	0.3654293774
343	0.3651342077
344	0.3644977523
345	0.3639620699
346	0.3635295691
347	0.363426332
348	0.363119554
349	0.3625299168
350	0.3621544417
351	0.3619278951
352	0.3616250963
353	0.3610388879
354	0.360697194
355	0.3597859277
356	0.3589765585
357	0.3585594869
358	0.357547895
359	0.357266849
360	0.3566933885
361	0.356403835
362	0.355873202
363	0.3551403619
364	0.3543249171
365	0.3542828417
366	0.3541257496
367	0.353880114
368	0.3538291516
